Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1007610,Designing Women,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,420.0,5148.0,2,4,FALSE,N,FALSE,FALSE,N
1003445,Absolute Design Interiors Ltd.,DESIGN,DESIGN_FIRM,Group 2 High Potential,Randall Schneck,Randall Schneck,535.0,5108.0,2,12,FALSE,N,FALSE,FALSE,N
1023490,Eckard Distributors Inc,RETAIL,MULTIPLE_LOCATIONS,Group 2 Medium Potential,Randall Schneck,Randall Schneck,90.0,5020.0,1,2,FALSE,N,FALSE,FALSE,N
1009542,Pizazz 2 Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,7820.0,4955.0,4,5,FALSE,N,FALSE,FALSE,N
1004002,Lauren Alexandra,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,5796.58,4711.18,4,3,FALSE,N,FALSE,FALSE,N
1021456,FE FI FAUX STUDIOS INC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,17945.0,4635.0,5,4,FALSE,N,FALSE,FALSE,N
1003637,"Interior Design Associates, Inc. (MO)",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,6250.4,4598.24,9,3,FALSE,N,FALSE,FALSE,N
1002311,Studio Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,7790.0,4452.5,16,6,FALSE,N,FALSE,FALSE,N
1004240,Interior Design Group (IA),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,14329.8,4298.42,12,7,FALSE,N,FALSE,FALSE,N
1017264,AsterHouse Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Randall Schneck,Randall Schneck,3787.0,4253.0,4,6,FALSE,N,FALSE,FALSE,N
1009573,The White Hare,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Randall Schneck,Randall Schneck,928.0,4190.0,4,11,FALSE,N,FALSE,FALSE,N
1007326,Studio 160,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,2558.5,4171.0,4,5,FALSE,N,FALSE,FALSE,N
1026995,Thomas Grey Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Randall Schneck,Randall Schneck,3920.0,4120.0,2,5,FALSE,N,FALSE,FALSE,N
1000415,All American Business LLC,RETAIL,MULTIPLE_LOCATIONS,Group 2 Medium Potential,Randall Schneck,Randall Schneck,13580.0,4098.0,14,3,FALSE,N,FALSE,FALSE,N
1035917,Eden + Gray Design Build,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,Randall Schneck,Randall Schneck,0.0,4011.0,0,4,TRUE,N,FALSE,FALSE,N
1012430,Creative Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,4001.0,3980.0,5,4,FALSE,N,FALSE,FALSE,N
1019986,Hearts & Fire,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Randall Schneck,Randall Schneck,6319.0,3926.0,3,7,FALSE,N,FALSE,FALSE,N
1027143,"MAVEN TILE & HOME DESIGN, LLC",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Randall Schneck,Randall Schneck,1773.0,3878.5,3,4,FALSE,N,FALSE,FALSE,N
1014051,Miller Design Group -Decorating Den,DESIGN,DESIGN_FIRM,Group 2 High Potential,Randall Schneck,Randall Schneck,3185.0,3755.0,7,11,FALSE,N,FALSE,FALSE,N
1012820,Nest Interiors LLC (KS),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,13682.1,3703.0,17,7,FALSE,N,FALSE,FALSE,N
1024609,RH Interiors LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,0.0,3181.5,0,2,FALSE,N,FALSE,FALSE,N
1007942,Foundry Home Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,2747.0,3088.0,3,2,FALSE,N,FALSE,FALSE,N
1010542,Michelle Ford Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,0.0,3020.0,0,3,FALSE,N,FALSE,FALSE,N
1011133,Life Style Design LLC dba Stev Mark,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Randall Schneck,Randall Schneck,8133.2,2774.7,12,10,FALSE,N,FALSE,FALSE,N
1006207,Coverings Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,38551.36,2772.63,28,3,FALSE,N,FALSE,FALSE,N
1010965,Lori Wiles Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,Randall Schneck,Randall Schneck,175.0,2723.05,0,1,FALSE,N,FALSE,FALSE,N
1005540,Interior Design Beth Phillips,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,5749.0,2721.0,5,3,FALSE,N,FALSE,FALSE,N
1035800,Purpose Interior Design + Homewares,DESIGN,DESIGN_FIRM,Group 2 High Potential,Randall Schneck,Randall Schneck,0.0,2700.67,0,7,TRUE,N,FALSE,FALSE,N
1009773,Noble Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Randall Schneck,Randall Schneck,22440.4,2570.0,7,4,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 32 accounts | $17113.65 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1006381,Hutch,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,6346.0,2239.0,7,4,FALSE,N,FALSE,FALSE,N
1006503,"Wright Furniture Co, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,1264.38,2192.5,3,4,FALSE,N,FALSE,FALSE,N
1006600,"The Furniture Look, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,9757.0,2152.0,12,6,FALSE,N,FALSE,FALSE,N
1003947,Frill-MMarsh Design,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,2470.5,1662.5,5,4,FALSE,N,FALSE,FALSE,N
1020647,Allure & Co.,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,0.0,1572.0,0,3,FALSE,N,FALSE,FALSE,N
1022850,Nelson Designs,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,0.0,1200.0,0,1,FALSE,N,FALSE,FALSE,N
1005532,Feldkamps Furniture,RETAIL,MULTIPLE_LOCATIONS,Group 3 Medium Potential,Randall Schneck,Randall Schneck,1928.0,1180.0,2,3,FALSE,N,FALSE,FALSE,N
1000413,Amini's Galleria (KS),RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,5890.0,1160.75,6,2,FALSE,N,FALSE,FALSE,N
