Rep Detail Report V2: Chapel Conley,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:29:07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025
191,17,1421694.73,1617986.54,0,70,-70,-36.65,0.0,28271.98,-28271.98,-1.75,121,1589714.56,0,0.0,0,9,3
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,21,823323.67,0,0,,,,,,,,,,
Group 1 Medium Potential: ,7,173836.85,0,0,,,,,,,,,,
Group 2 High Potential: ,29,275157.1,0,0,,,,,,,,,,
Group 2 Medium Potential: ,42,303203.64,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,3402.0,0,0,,,,,,,,,,
Group 3 High Potential: ,5,2264.0,0,0,,,,,,,,,,
Group 3 Medium Potential: ,8,6821.0,0,0,,,,,,,,,,
Group 3 Low Potential: ,8,1706.3,0,0,,,,,,,,,,
Totals,121,1589714.56,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 28 accounts | $997160.52 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1012295,Moxie Design Studio,DESIGN,DESIGN_FIRM,Group 1 High Potential,Chapel Conley,Chapel Conley,45706.26,89069.53,33,49,FALSE,N,FALSE,FALSE,N
1001367,Sunrise Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Chapel Conley,Chapel Conley,42462.24,78238.23,60,57,FALSE,N,FALSE,FALSE,N
1020823,Happy Hour Design Collective,DESIGN,DESIGN_FIRM,Group 1 High Potential,Chapel Conley,Chapel Conley,63929.5,70970.79,53,57,FALSE,N,FALSE,FALSE,N
1021260,Pacaso,DESIGN,HOSPITALITY,Group 1 High Potential,Chapel Conley,Chapel Conley,58180.3,68615.52,22,25,FALSE,N,FALSE,FALSE,N
1013869,KTG Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,Chapel Conley,Chapel Conley,30872.76,51122.96,19,19,FALSE,N,FALSE,FALSE,N
