Rep Detail Report V2: Hana Nassri,,,,,,,,,,,,,,,
Generated: 2025-12-22 11:59:33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
980,114,1909418.67,1854954.57,349,979,-630,-64.29,1876681.09,1852149.57,24531.52,1.32,350,1879486.09,0,0.0,0,68,48,332,1695365.62,544,156783.95,103,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,13,386698.1,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,93307.62,0,0,,,,,,,,,,
Group 2 High Potential: ,69,505115.3,0,0,,,,,,,,,,
Group 2 Medium Potential: ,128,813087.16,0,0,,,,,,,,,,
Group 2 Low Potential: ,4,14794.0,0,0,,,,,,,,,,
Group 3 High Potential: ,95,46095.81,0,0,,,,,,,,,,
Group 3 Medium Potential: ,13,17721.2,0,2,,,,,,,,,,
Group 3 Low Potential: ,24,2666.9,0,0,,,,,,,,,,
Totals,350,1879486.09,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $480005.72 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1014846,Wade Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,9446.2,18990.81,1,3,FALSE,N,FALSE,FALSE,N
1013401,J Lynn Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,8270.0,18592.49,8,13,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 201 accounts | $1332996.46 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1022293,"Marni Joy Hamptons Interiors + Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11433.0,17882.0,8,9,FALSE,N,FALSE,FALSE,N
1024083,Caroline Griswold Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,17810.0,0,2,TRUE,N,FALSE,FALSE,N
1016766,Ideazione,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,6326.0,17195.1,9,12,FALSE,N,FALSE,FALSE,N
1025436,Dwell Well Designs Co,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1549.0,15881.7,1,8,FALSE,N,FALSE,FALSE,N
1036151,Emerald Studio LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,15370.0,0,4,TRUE,N,FALSE,FALSE,N
1017492,Mary Rosenberg Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15638.5,15212.0,12,6,FALSE,N,FALSE,FALSE,N
1016804,Devon Jeanne Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2362.0,14645.25,4,9,FALSE,N,FALSE,FALSE,N
1035000,Drake Anderson,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,150.0,14166.95,1,2,FALSE,N,FALSE,FALSE,N
1019551,Agiglio Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,8900.1,14021.0,4,9,FALSE,N,FALSE,FALSE,N
1018325,ACME Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15155.0,14010.0,1,5,FALSE,N,FALSE,FALSE,N
