Rep Detail Report: Marti Hovater,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
159,1910383.7,1805917.18,39,25650.35,120,1780266.83,47,2,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,24,1287370.11,0,,,,,,,,,,
Group 2 Medium Potential: ,29,196829.59,0,,,,,,,,,,
Group 2 High Potential: ,16,142092.52,0,,,,,,,,,,
Group 1 Medium Potential: ,5,134877.58,0,,,,,,,,,,
Group 3 Medium Potential: ,26,37170.28,14,,,,,,,,,,
Group 3 High Potential: ,9,5730.1,2,,,,,,,,,,
Group 3 Low Potential: ,50,1847.0,23,,,,,,,,,,
Totals,159,1805917.18,39,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | 1422247.69 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1008815,McManus Company,RETAIL,SINGLE_LOCATION,27263.0,22631.8,22,22,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/21/2019,FALSE,71.7,FALSE
1005299,Dallas Design Group Interiors,DESIGN,DESIGN_FIRM,20052.7,22057.5,7,9,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/12/2019,FALSE,73.5,FALSE
1002656,Keaton Interiors,DESIGN,DESIGN_FIRM,58637.0,20881.0,30,10,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/20/2020,FALSE,62.0,FALSE
1010480,Scene One Interiors,DESIGN,DESIGN_FIRM,19996.5,20457.98,13,16,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/18/2020,FALSE,62.6,FALSE
1004579,15'th and Home,RETAIL,SINGLE_LOCATION,2638.5,19582.5,4,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/12/2020,FALSE,84.1,FALSE
1014450,Fort Worth Rugs,RETAIL,SINGLE_LOCATION,30234.6,19188.25,6,8,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/29/2022,FALSE,65.7,FALSE
1001143,By Design Interiors (TX),DESIGN,DESIGN_FIRM,8545.0,18275.0,11,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/8/2019,FALSE,79.7,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 45 accounts | 338922.11 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1009590,Nikole Starr Interiors - TX,DESIGN,DESIGN_FIRM,5614.0,15847.87,3,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/25/2020,FALSE,76.7,FALSE
1020189,Phillips House,DESIGN,DESIGN_FIRM,32781.48,15243.86,11,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/21/2021,FALSE,65.8,FALSE
1011838,Missy Stewart Designs,DESIGN,DESIGN_FIRM,10175.0,14728.2,4,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/10/2019,FALSE,73.3,FALSE
1024338,Maestri Studio,DESIGN,DESIGN_FIRM,30542.24,14439.87,7,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/25/2023,FALSE,63.3,FALSE
1009815,"The Owen Group Design Firm, Inc.",DESIGN,DESIGN_FIRM,19207.34,13117.09,14,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/14/2022,FALSE,57.7,FALSE
1016542,Chairma Design Group,DESIGN,DESIGN_FIRM,5419.0,12140.5,10,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/6/2020,FALSE,73.4,FALSE
1015794,Sweetlake Interior Design,DESIGN,DESIGN_FIRM,37632.05,11090.0,9,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/23/2020,FALSE,61.2,FALSE
1010232,Nicole Rickey Interior Design,DESIGN,DESIGN_FIRM,5547.0,11084.0,4,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/30/2020,FALSE,69.7,FALSE
1005760,"Luxe Furniture and Design, Magnolia Lane Holdings",RETAIL,SINGLE_LOCATION,7795.0,10948.0,18,20,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/15/2020,FALSE,79.8,FALSE
1021071,Arveaux Interiors,RETAIL,SINGLE_LOCATION,10893.0,10692.42,6,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/10/2022,FALSE,68.9,FALSE
1002184,Eklektik Interiors,DESIGN,DESIGN_FIRM,6053.0,10327.0,3,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/30/2019,FALSE,69.5,FALSE
1000209,Great Rug Company (Houston),RETAIL,SINGLE_LOCATION,14677.0,10120.5,27,24,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/21/2020,FALSE,66.5,FALSE
1010613,Brickmoon Design,DESIGN,DESIGN_FIRM,0.0,9437.2,0,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/10/2021,FALSE,73.0,FALSE
1009448,Monaco Home Interiors LLC,RETAIL,SINGLE_LOCATION,6160.5,8957.25,6,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/21/2020,FALSE,66.2,FALSE
1037595,"Armorie Interiors, LLC",RETAIL,SINGLE_LOCATION,0.0,8642.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/4/2025,TRUE,50.5,FALSE
1014081,G-Interiors,DESIGN,DESIGN_FIRM,2100.0,8538.0,4,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/21/2019,FALSE,76.7,FALSE
1008460,"Allan Moore and Associates Interiors, Inc.",DESIGN,DESIGN_FIRM,687.0,8526.0,2,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/6/2019,FALSE,91.8,FALSE
1012749,All About Looks,DESIGN,DESIGN_FIRM,5559.0,8510.0,4,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/21/2019,FALSE,78.5,FALSE
1000907,Sunnyroad,RETAIL,SINGLE_LOCATION,16291.5,8393.5,2,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/9/2020,FALSE,78.9,FALSE
1034865,Icon Furniture,RETAIL,SINGLE_LOCATION,0.0,8195.25,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/27/2025,TRUE,52.4,FALSE
1021545,Back Row Home,RETAIL,SINGLE_LOCATION,26256.0,7974.0,12,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/3/2022,FALSE,71.7,FALSE
1022441,1st Class Solutions,RETAIL,SINGLE_LOCATION,10470.2,7096.0,6,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/26/2022,FALSE,58.6,FALSE
1013815,Design Directions LLC (OK),DESIGN,DESIGN_FIRM,6495.0,7083.0,2,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/27/2019,FALSE,65.5,FALSE
1013302,Manor Interiors,RETAIL,SINGLE_LOCATION,3843.5,6801.0,7,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/3/2019,FALSE,84.9,FALSE
1008013,Urbane Home and Lifestyles,RETAIL,SINGLE_LOCATION,7700.36,6565.0,7,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/23/2020,FALSE,52.0,FALSE
1016590,Lexington Home-Tommy Bahama (Houston),RETAIL,MULTIPLE_LOCATIONS,6199.0,6496.0,6,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/30/2020,FALSE,61.2,FALSE
1006418,Laura U Inc.,DESIGN,DESIGN_FIRM,9410.2,6445.0,9,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/22/2020,FALSE,70.3,FALSE
1017339,shm Architects,DESIGN,DESIGN_FIRM,3805.0,5961.0,3,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/18/2020,FALSE,52.5,FALSE
1007460,Homeology,RETAIL,SINGLE_LOCATION,10946.0,5808.0,16,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/5/2020,FALSE,52.4,FALSE
1003700,Donna's Home Furnishings,RETAIL,MULTIPLE_LOCATIONS,8406.0,5685.1,20,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/29/2019,FALSE,64.9,FALSE
1027390,Leftwich Chapman Floors,RETAIL,SINGLE_LOCATION,7772.0,4929.6,1,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/3/2024,FALSE,60.8,FALSE
1005649,"B deVine, LLC",RETAIL,SINGLE_LOCATION,6749.7,4635.0,24,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/23/2020,FALSE,55.3,FALSE
1013269,Lexington Home - Tommy Bahama- Austin,RETAIL,MULTIPLE_LOCATIONS,19416.88,4493.0,12,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/11/2019,FALSE,46.6,FALSE
1021420,CWD Studio & Home LLC,RETAIL,SINGLE_LOCATION,0.0,4414.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/27/2022,FALSE,57.0,FALSE
1015312,Shelby Wagner Design,DESIGN,DESIGN_FIRM,0.0,3975.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/12/2024,FALSE,45.2,FALSE
1012531,"Creative Impressions, Inc.",DESIGN,DESIGN_FIRM,0.0,3639.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/18/2019,FALSE,62.3,FALSE
1000187,Corrales Decor,DESIGN,DESIGN_FIRM,1186.0,3534.0,2,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/18/2021,FALSE,79.1,FALSE
1036251,Cosee Home,DESIGN,DESIGN_FIRM,0.0,3432.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/28/2025,TRUE,43.4,FALSE
1020868,"D'Kor Home, Inc dba Twilly & Fig",DESIGN,DESIGN_FIRM,2720.0,3265.0,2,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2022,FALSE,53.5,FALSE
1009625,Raffia Home,RETAIL,SINGLE_LOCATION,2458.5,3192.0,5,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/18/2019,FALSE,66.9,FALSE
1008787,Furniture Showcase,RETAIL,SINGLE_LOCATION,3529.0,3186.9,3,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/20/2019,FALSE,52.7,FALSE
1018135,Marian Louise Designs,DESIGN,DESIGNER_INDEPENDENT,0.0,3160.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/23/2020,FALSE,63.9,FALSE
1013205,Sally Lynn Home,RETAIL,MULTIPLE_LOCATIONS,3025.0,2918.0,5,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/24/2020,FALSE,64.0,FALSE
1000208,The Design Firm (TX),DESIGN,DESIGN_FIRM,2673.0,2638.0,7,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/23/2019,FALSE,65.1,FALSE
1011926,Kay Genua Designs,DESIGN,DESIGN_FIRM,4944.0,2618.0,7,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/3/2020,FALSE,62.9,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 46 accounts | 19097.03 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1007236,Panache Of Amarillo,RETAIL,SINGLE_LOCATION,4172.0,2288.5,5,5,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,2/25/2020,FALSE,53.0,FALSE
1014915,Belle Haven Interiors,RETAIL,SINGLE_LOCATION,11100.75,2130.0,16,5,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,4/3/2020,FALSE,53.0,FALSE
1000776,Kirkendall Design,RETAIL,SINGLE_LOCATION,6504.5,2102.0,13,2,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,10/20/2019,FALSE,61.9,FALSE
1022153,Rios Interiors,RETAIL,SINGLE_LOCATION,1110.0,2080.0,1,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,7/27/2022,FALSE,45.2,FALSE
1004492,Ambrose Furniture (TX),RETAIL,SINGLE_LOCATION,3878.94,1725.0,6,3,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,10/3/2019,FALSE,50.0,FALSE
1000210,"House Of Rugs, LLC (TX)",RETAIL,SINGLE_LOCATION,3621.4,1638.25,7,3,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,1/9/2020,FALSE,44.5,FALSE
1027763,Two Thirty Interiors,RETAIL,SINGLE_LOCATION,0.0,1196.78,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,9/4/2024,FALSE,54.4,FALSE
1009501,Kuhl-Linscomb,RETAIL,SINGLE_LOCATION,4035.0,1185.0,3,1,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/8/2019,FALSE,38.9,FALSE
1006221,Weidner Hasou and Co.,RETAIL,SINGLE_LOCATION,0.0,1134.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,11/21/2019,FALSE,56.2,FALSE
1037315,Olive and Home,RETAIL,SINGLE_LOCATION,0.0,980.0,0,3,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/18/2025,TRUE,55.1,FALSE
1006437,Charbonneau Interiors,RETAIL,SINGLE_LOCATION,1645.0,772.0,6,4,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,1/24/2020,FALSE,58.1,FALSE
1001539,Winter House Interiors,RETAIL,SINGLE_LOCATION,0.0,615.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,5/15/2020,FALSE,51.7,FALSE
1003624,Elizabeth Cole LLC,RETAIL,SINGLE_LOCATION,2839.3,583.5,5,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,7/4/2019,FALSE,48.1,FALSE
1011521,Emily's Home Building,RETAIL,SINGLE_LOCATION,3238.0,330.0,5,2,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,4/8/2020,FALSE,48.9,FALSE
1017406,Young & Co,RETAIL,SINGLE_LOCATION,2092.5,180.0,6,1,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,9/30/2020,FALSE,32.6,FALSE
