Rep Detail Report V2: Maggie McCoy,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:49:56,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
165,77,118676.8,326398.22,0,54,-54,-32.73,0.0,12150.78,-12150.78,-3.72,111,314247.44,74,0.0,77,88,7,0,0.0,54,12150.78,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,2,143867.65,0,0,,,,,,,,,,
Group 1 Medium Potential: ,2,58748.0,0,0,,,,,,,,,,
Group 2 High Potential: ,5,48004.62,0,0,,,,,,,,,,
Group 2 Medium Potential: ,8,57366.28,0,0,,,,,,,,,,
Group 3 High Potential: ,89,4954.29,73,0,,,,,,,,,,
Group 3 Medium Potential: ,1,1306.6,0,0,,,,,,,,,,
Group 3 Low Potential: ,4,0.0,1,0,,,,,,,,,,
Totals,111,314247.44,74,0,,,,,,,,,,
,,,,,,,,,,,,,,,
1035777,BOS of Illinois,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,419.4,0,1,TRUE,N,FALSE,FALSE,N
1037165,VSA Interiors,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,406.5,0,2,TRUE,N,FALSE,FALSE,N
1036758,Dunne Kozlowski,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,357.39,0,1,TRUE,N,FALSE,FALSE,N
1013938,Henricksen & Co Inc,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1023699,Pigott,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1025446,Atmosphere Commercial Interiors,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,8515.0,0.0,3,0,FALSE,N,FALSE,FALSE,N
1036561,Ameena Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1026299,BUSINESS FURNITURE LLC,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,5530.0,0.0,3,0,FALSE,N,FALSE,FALSE,N
1036380,SS Maggie McCoy,RETAIL,MULTIPLE_LOCATIONS,Group 3 High Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1037641,OKW Architects,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038219,Benjamin West(IL),DESIGN,HOSPITALITY,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038304,ParkFowler Plus,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038752,Mcintosh Poris Architects,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1018602,Noland Sales Corporation,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1027221,Macco's Commercial Interiors,Retail,Multiple locations,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1027779,Ready Tile LLC,Retail,Store Home Decor or LifeStyle,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1038115,Above the Rest Floors and More LLC,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - FLOOR EXCEPTIONS: 74 accounts | $0.00 revenue,,,,,,,,,,,,,,,
(BTF='Y' but account stayed with original rep - EXCEPTION MADE),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
