Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1018716,Custom Planned Interiors LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,2526.0,13659.85,1,3,FALSE,N,FALSE,FALSE,N
1007637,"Smiros and Smiros Architects, LLP",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,7918.72,13162.0,3,2,FALSE,N,FALSE,FALSE,N
1010196,Jacobson Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,0.0,13142.0,0,4,FALSE,N,FALSE,FALSE,N
1010870,Jen Going Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,27064.06,12817.28,8,12,FALSE,N,FALSE,FALSE,N
1004734,Room,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,9421.0,12731.5,7,11,FALSE,N,FALSE,FALSE,N
1009336,S FOUR I.DESIGN dba House of Meraki,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Lorne Gardner,Lorne Gardner,454.3,12547.3,2,7,FALSE,N,FALSE,FALSE,N
1010735,Jill Shields - Introspect,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Lorne Gardner,Lorne Gardner,2955.0,12401.09,3,7,FALSE,N,FALSE,FALSE,N
1012487,Katharine Jessica Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,9859.0,9995.2,6,0,FALSE,N,FALSE,FALSE,N
1010582,Darci Hether New York,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,10466.25,9926.0,2,1,FALSE,N,FALSE,FALSE,N
1000516,Blairhouse Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,12786.5,9235.0,9,8,FALSE,N,FALSE,FALSE,N
1012305,Current Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,3970.0,9098.0,0,3,FALSE,N,FALSE,FALSE,N
1014106,East End Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,Lorne Gardner,Lorne Gardner,2188.5,9044.0,3,2,FALSE,N,FALSE,FALSE,N
1010535,JM Window Treatments,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,9919.0,8599.5,11,12,FALSE,N,FALSE,FALSE,N
1007642,Christina Byers Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Low Potential,Lorne Gardner,Lorne Gardner,4200.0,7471.0,3,5,FALSE,N,FALSE,FALSE,N
1008413,Inside Wright,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,0.0,7334.6,0,3,FALSE,N,FALSE,FALSE,N
1012147,Unlimited Furniture,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,8515.0,7309.0,14,9,FALSE,N,FALSE,FALSE,N
1012737,"Constance Hall Design, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Lorne Gardner,Lorne Gardner,1271.5,7175.5,5,7,FALSE,N,FALSE,FALSE,N
1020106,E Lawrence Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,Lorne Gardner,Lorne Gardner,1845.0,7083.0,2,1,FALSE,N,FALSE,FALSE,N
1024669,PORCH Home + Gift,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,6350.0,6791.0,3,3,FALSE,N,FALSE,FALSE,N
1020160,Sarah Regan Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,0.0,6651.0,0,5,FALSE,N,FALSE,FALSE,N
1006459,Dartbrook LLC dba Dartbrook Rustic Goods,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,4605.6,6437.1,5,2,FALSE,N,FALSE,FALSE,N
1004637,Motif Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,6068.68,5843.2,4,3,FALSE,N,FALSE,FALSE,N
1000508,Past Tense Ltd. Dba Fishers,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,3290.0,5713.4,7,9,FALSE,N,FALSE,FALSE,N
1019373,Shop Village Design Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,250.0,5602.0,0,3,FALSE,N,FALSE,FALSE,N
1025279,Lara Michelle Interiors Inc.,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,0.0,5290.0,0,1,FALSE,N,FALSE,FALSE,N
1020965,Campbell's Carpet & Service,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Lorne Gardner,Lorne Gardner,0.0,4953.86,0,2,TRUE,N,FALSE,FALSE,N
1010706,Lori Girl Creations,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Lorne Gardner,Lorne Gardner,1060.0,4538.5,3,6,FALSE,N,FALSE,FALSE,N
1004775,DS Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,2470.0,4498.0,2,4,FALSE,N,FALSE,FALSE,N
1005603,Interiors by Shelley Stein-Bigajer,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,8635.0,4305.0,4,3,FALSE,N,FALSE,FALSE,N
1002763,B Fein Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Lorne Gardner,Lorne Gardner,63.36,4212.4,2,2,FALSE,N,FALSE,FALSE,N
1012993,Safavieh Group LLC,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,7702.4,4179.5,8,5,FALSE,N,FALSE,FALSE,N
1011506,LAS Designs - Samhal Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,Lorne Gardner,Lorne Gardner,1055.0,4136.0,2,6,FALSE,N,FALSE,FALSE,N
1010749,Maggie Nielsen Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,1110.0,4030.16,4,1,FALSE,N,FALSE,FALSE,N
1011705,Domino Creative,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,8437.31,3986.0,5,5,FALSE,N,FALSE,FALSE,N
