Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1016359,Bella Moda Home Furnishings Ltd,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),34090.13,8233.48,28,13,FALSE,N,FALSE,FALSE,N
1036410,J Gibson Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,8096.5,0,5,TRUE,N,FALSE,FALSE,N
1004404,Zilli Home Interiors,RETAIL,SINGLE_LOCATION,Group 2 Low Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),19365.0,8006.5,38,21,FALSE,N,FALSE,FALSE,N
1001497,DOVETAIL INTERIORS DESIGN INC.,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),7805.0,7882.0,1,2,FALSE,N,FALSE,FALSE,N
1018056,Van Allan Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),11779.0,7795.2,11,11,FALSE,N,FALSE,FALSE,N
1012560,Parkyn Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),8030.0,7700.0,8,7,FALSE,N,FALSE,FALSE,N
1020356,Karger.,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),3585.0,7685.0,1,2,FALSE,N,FALSE,FALSE,N
1011920,Procuratorial,DESIGN,HOSPITALITY,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),5660.0,7679.2,5,0,FALSE,N,FALSE,FALSE,N
1019250,PURE Design Inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),12985.5,7289.5,10,10,FALSE,N,FALSE,FALSE,N
1005128,Bespoke Design,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),11394.69,7190.05,16,8,FALSE,N,FALSE,FALSE,N
1008587,La Compania,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),3795.5,7109.9,2,7,FALSE,N,FALSE,FALSE,N
1003094,"Interior Illusions, Inc.",RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),2496.2,7090.0,4,6,FALSE,N,FALSE,FALSE,N
1005398,"Layers and Layers Showroom, Inc.",DESIGN,DESIGN_FIRM,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),4005.0,7020.1,4,4,FALSE,N,FALSE,FALSE,N
1011871,Joyce Decor,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),18600.6,6754.8,3,2,FALSE,N,FALSE,FALSE,N
1011447,Niche Decor New Market,RETAIL,MULTIPLE_LOCATIONS,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),11696.0,6730.0,9,8,FALSE,N,FALSE,FALSE,N
1006527,The Design Project,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),7923.0,6728.0,7,5,FALSE,N,FALSE,FALSE,N
