Rep Detail Report V2: Wesley Hood,,,,,,,,,,,,,,,
Generated: 2025-12-22 16:14:38,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
723,49,2390069.19,2198108.3,216,661,-445,-61.55,1059648.75,1718372.68,-658723.93,-29.97,278,1539384.37,1,0.0,0,45,29,214,1569464.74,406,148907.94,41,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,8,223304.21,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,95711.18,0,0,,,,,,,,,,
Group 2 High Potential: ,56,407977.12,0,0,,,,,,,,,,
Group 2 Medium Potential: ,120,757962.68,0,0,,,,,,,,,,
Group 2 Low Potential: ,5,15347.15,0,0,,,,,,,,,,
Group 3 High Potential: ,62,35324.43,0,0,,,,,,,,,,
Group 3 Medium Potential: ,3,4238.4,0,0,,,,,,,,,,
Group 3 Low Potential: ,20,-480.8,1,1,,,,,,,,,,
Totals,278,1539384.37,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts | $319015.39 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1017045,Leah Phillips Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10640.6,14026.0,7,5,FALSE,N,FALSE,FALSE,N
1010944,Robin's Nest Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,7725.0,13776.5,4,11,FALSE,N,FALSE,FALSE,N
1007153,"Kelly Brown Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,5026.0,13773.52,2,4,FALSE,N,FALSE,FALSE,N
1013956,Oliver Falder design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15504.5,13535.21,5,11,FALSE,N,FALSE,FALSE,N
1022804,Dara Agruss Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,7949.9,13482.0,4,7,FALSE,N,FALSE,FALSE,N
1036096,"SCHMAUDER GROUP, LLC dba Reflekt Design Build",DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,12921.0,0,1,TRUE,N,FALSE,FALSE,N
1006049,Dana Roeser Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4255.0,12837.0,2,4,FALSE,N,FALSE,FALSE,N
1020461,Kara Grider Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2635.0,12424.0,4,8,FALSE,N,FALSE,FALSE,N
1024407,Spaces by Katie,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15098.91,12401.0,19,8,FALSE,N,FALSE,FALSE,N
1016538,"Decorelle, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,12185.0,0,6,FALSE,N,FALSE,FALSE,N
1010500,Let It Be Design Company,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2323.0,11416.0,3,4,FALSE,N,FALSE,FALSE,N
1020190,Beth Higgins Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2202.67,11019.25,4,5,FALSE,N,FALSE,FALSE,N
1035724,Indigo Mavens,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11010.0,0,5,TRUE,N,FALSE,FALSE,N
1011543,Embellish Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,17135.7,10157.85,11,11,FALSE,N,FALSE,FALSE,N
