Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1002997,Freestyle Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,42406.0,33853.84,24,26,FALSE,N,FALSE,FALSE,N
1006130,Michelle Miller Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,28645.41,33764.22,23,17,FALSE,N,FALSE,FALSE,N
1000473,Hadingers Flooring,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,30926.0,29691.0,63,38,FALSE,N,FALSE,FALSE,N
1024470,R & Co Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,David Glassman,David Glassman,63259.96,29298.74,31,20,FALSE,N,FALSE,FALSE,N
1008935,"Lynni Megginson Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,David Glassman,David Glassman,10012.5,28204.5,5,8,FALSE,N,FALSE,FALSE,N
1014169,Nikki Levy Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,13057.5,27326.9,11,26,FALSE,N,FALSE,FALSE,N
1005504,"Artistic Elements, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,David Glassman,David Glassman,29412.4,26851.66,45,25,FALSE,N,FALSE,FALSE,N
1004823,Coast Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,David Glassman,David Glassman,22991.0,26519.0,24,36,FALSE,N,FALSE,FALSE,N
1013408,Koontz Company,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,David Glassman,David Glassman,31744.26,26168.0,35,17,FALSE,N,FALSE,FALSE,N
1008466,James Design Company,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,25151.0,25794.0,31,21,FALSE,N,FALSE,FALSE,N
1005643,James Michael Howard,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,David Glassman,David Glassman,28973.69,25718.0,24,19,FALSE,N,FALSE,FALSE,N
1035172,Angela Neel Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,1565.0,25530.5,2,28,FALSE,N,FALSE,FALSE,N
1025540,Trade Collective,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,7554.16,25169.85,10,4,FALSE,N,FALSE,FALSE,N
1009825,Room With a View,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,9162.87,24827.05,9,12,FALSE,N,FALSE,FALSE,N
1008621,"Gordon and Johnson Interiors, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,434.0,23966.5,2,11,FALSE,N,FALSE,FALSE,N
1005150,Steele Street Studios,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,33079.43,23508.29,15,11,FALSE,N,FALSE,FALSE,N
1004772,Codeana Ltd.,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,David Glassman,David Glassman,10614.5,23009.5,12,3,FALSE,N,FALSE,FALSE,N
1013175,ACP Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,25506.7,22829.0,30,20,FALSE,N,FALSE,FALSE,N
1020152,Nicole Roe Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,10705.6,22565.7,13,13,FALSE,N,FALSE,FALSE,N
1010512,Lisa Gilmore Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,14609.3,22450.46,6,7,FALSE,N,FALSE,FALSE,N
1016223,"LMG Design Consulting, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,28106.17,22156.52,20,9,FALSE,N,FALSE,FALSE,N
1011411,Marco Island Furniture and Design,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,8454.0,21798.25,12,20,FALSE,N,FALSE,FALSE,N
1001296,Cid - Concepts In Design (FL),DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,25180.44,21625.05,19,12,FALSE,N,FALSE,FALSE,N
1011694,"Bee Studios, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,5037.0,21602.95,5,14,FALSE,N,FALSE,FALSE,N
1009850,Sugar Beach Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,7610.5,21165.2,9,23,FALSE,N,FALSE,FALSE,N
1005558,"James Duncan, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,David Glassman,David Glassman,35819.5,20985.5,10,7,FALSE,N,FALSE,FALSE,N
1005550,"Soco Interiors, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,David Glassman,David Glassman,32155.0,20345.0,15,11,FALSE,N,FALSE,FALSE,N
1018687,Kat Solomon Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,David Glassman,David Glassman,20190.0,20158.93,7,6,FALSE,N,FALSE,FALSE,N
1013887,Tera Smith - Smith Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,David Glassman,David Glassman,12751.23,19742.0,15,6,FALSE,N,FALSE,FALSE,N
1017064,Chris Brown Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,David Glassman,David Glassman,18141.5,19504.2,13,7,FALSE,N,FALSE,FALSE,N
1005633,Turner Ace Hardware,RETAIL,SINGLE_LOCATION,Group 1 High Potential,David Glassman,David Glassman,10361.0,19016.88,16,15,FALSE,N,FALSE,FALSE,N
1012773,CRT Studio,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,David Glassman,David Glassman,19509.0,18306.5,8,6,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 232 accounts | $1666485.75 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1006824,Retreats of Florida Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,16233.0,17734.0,18,23,FALSE,N,FALSE,FALSE,N
1013314,"Trinity Design, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,David Glassman,David Glassman,2440.0,17610.55,2,6,FALSE,N,FALSE,FALSE,N
1016353,Lexi Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,David Glassman,David Glassman,3846.5,17574.65,3,16,FALSE,N,FALSE,FALSE,N
