Rep Detail Report V2: Enricus Coone,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
611,3397995.4,648474.14,317,274066.0,2,0.0,0,0.0,286,31,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 3 Medium Potential: ,164,228260.5,0,159,,,,,,,,,,
Group 2 Medium Potential: ,34,167343.61,0,0,,,,,,,,,,
Group 2 High Potential: ,23,142508.01,0,0,,,,,,,,,,
Group 3 Low Potential: ,325,48722.1,2,157,,,,,,,,,,
Group 1 High Potential: ,1,41333.2,0,0,,,,,,,,,,
Group 3 High Potential: ,64,20306.72,0,1,,,,,,,,,,
Totals,611,648474.14,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $41333.20 revenue,,,,,,,,,,,,,,,
1021547,Dear Charley Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,5385.0,0,1,TRUE,N,FALSE,FALSE,N
1009215,Terri Ervin - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,329.0,5147.75,2,6,FALSE,N,FALSE,FALSE,N
1034882,Debbie Cruz Designs LLC Decorating Den Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,5135.5,0,3,FALSE,N,FALSE,FALSE,N
1022063,CALAFIA Home Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,5055.0,0,1,TRUE,N,FALSE,FALSE,N
1020551,Katie Rainey Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,4903.5,0,3,FALSE,N,FALSE,FALSE,N
1019239,"Happily, LLC DBA Maddox & Rose",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,4690.0,0,1,FALSE,N,FALSE,FALSE,N
1010903,Suzan Wemlinger - Decorating Den,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,6808.5,4552.0,4,5,FALSE,N,FALSE,FALSE,N
1025212,Ash Design Partners,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,4170.0,0,1,FALSE,N,FALSE,FALSE,N
1019411,b. blanton design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,4039.0,0,6,FALSE,N,FALSE,FALSE,N
1019418,Jen Reagan Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3873.0,0,1,FALSE,N,FALSE,FALSE,N
1001925,"Lou Lou's Decor, Inc",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3803.0,0,4,FALSE,N,FALSE,FALSE,N
1020446,GTL Architects,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3785.0,0,1,FALSE,N,FALSE,FALSE,N
1016978,Lara Lee Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3712.5,0,1,FALSE,N,FALSE,FALSE,N
1023883,Wing Home Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,3690.0,0,1,TRUE,N,FALSE,FALSE,N
1025391,Landed At Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,3550.0,0,1,TRUE,N,FALSE,FALSE,N
1021755,Mad Luxe Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3490.0,0,2,FALSE,N,FALSE,FALSE,N
1015954,J. Ruby Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3477.0,0,2,FALSE,N,FALSE,FALSE,N
1023477,Residents Understood,DESIGN,DESIGN_FIRM,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,3462.0,0,2,TRUE,N,FALSE,FALSE,N
1021354,Just Feels Like Home Corp,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3425.0,0,1,FALSE,N,FALSE,FALSE,N
1024069,Robin Norwood Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,3410.0,0,1,TRUE,N,FALSE,FALSE,N
1019821,"AWJ Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,3359.7,0,1,TRUE,N,FALSE,FALSE,N
1017556,Bella Mancini Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3333.0,0,2,FALSE,N,FALSE,FALSE,N
1013841,Himatsingka - PH Factor,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3271.5,0,2,FALSE,N,FALSE,FALSE,N
1003085,Willis Furniture (VA),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3150.0,0,3,FALSE,N,FALSE,FALSE,N
1016648,Moody Design Group,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,3122.0,0,1,FALSE,N,FALSE,FALSE,N
1020704,"Rae Marie Interiors, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,2920.0,0,1,FALSE,N,FALSE,FALSE,N
